OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LINEAS,x2,y2
32,5_52,20260529,5,52,ORCASITAS,,S,52,35703,,93,286,U,28,079,07901,0790101,09528,Calle,de,Campotejar,N,24,,,28041,12,018,121,T07915267,0790101821,,4,A,2,079-12-334,334,48,559-3,2,3,20030331,19860101,,440304,4468927,N,,,,,C-5,440194.0225,4468719.5232
33,5_104,20260529,5,104,HUMANES,,S,104,35012,,93,235,U,28,073,07301,0730199,00522,Calle, ,Cenicientos,N,26,,,28970,01,004,,T073171,0730199999,,4,B3,3,073-002,738,,582-1,2,3,20040929,20040101,,429656,4456669,P,,,,,C-5,429546.4777,4456461.1934
34,5_113,20260529,5,113,"ESPINAR, EL",,S,113,12010,,93,209,U,40,076,07601,,99999,Plaza,de la,Estación,N,SN,,,40400,01,001,,T0761,,,,,, ,0,,507-4,2,3,20080402,20080402,,399676,4510875,T,,,,,,399566.8123,4510667.8605
35,5_77,20260529,5,77,"SERNA, LA",,S,77,35010,,93,343,U,28,058,05801,0580102,A0055,Calle, ,Barcelona,N,28,,,28945,06,001,,T058188,0580102029,,4,B2,3,058-008,683,30,582-1,2,3,20030331,19860101,,432757,4461200,P,,,,,C-5,432647.8791,4460992.5342
36,5_36,20260529,5,36,GETAFE SECTOR 3,,S,36,37011,,93,220,U,28,065,06503,0650301,A0172,Calle,del,Cementerio Municipal,SN,SN,,,28906,01,014,,T06551714,0650301022,,4,B1,3,065-028,732,82,582-1,2,3,20030331,19860101,,437436,4460219,T,,,,,C-4,437325.9057,4460011.0443
37,5_43,20260529,5,43,"MARGARITAS-UNIVERSIDAD, LAS",,S,43,37010,,92,267,U,28,065,06503,0650301,A0460,Calle, ,Madrid,N,152,,,28903,02,013,,T06551627,0650301036,,4,B1,3,065-002,706,32,582-1,2,3,20030331,19860101,,438314,4464074,T,,,,,C-4,438204.9009,4463866.6007
38,5_93,20260529,5,93,VILLAVERDE BAJO,,S,93,60100,,92,23,U,28,079,07901,0790101,02052,Paseo,de la,Estación,N,2,,,28021,17,057,174,T07915893,0790101839,,4,A,2,079-17-482,482,71,559-4,2,3,20030331,19860101,,442026,4467330,T,,,,,"C-3, C-4",441916.6501,4467122.3997
39,5_91,20260529,5,91,VILLALBA DE GUADARRAMA,,S,91,10200,,92,371,U,28,047,04705,0470501,A0107,Plaza,de la,Estación,N,1,,,28400,01,011,,T047418,0470501006,,6,B3,3,047-006,968,69,533-2,2,3,20030331,19860101,,414849,4497977,P,,,,,"C-10, C-8a, C-8b",414740.0098,4497769.8626
40,5_97,20260529,5,97,ÁVILA,Cerro Hervero. Ávila (ÁVILA),S,97,10400,,,,U,05,019,01901,,99999,Parcela,,40 Polígono 19,SN,SN,,,05004,01,001,,,,,,,, ,0,97,,2,3,20030331,19860101,,359641,4502372,T,,,,,,359531.5273,4502165.0132
41,5_98,20260529,5,98,ARCOS DE JALÓN,El Pozo. Arcos de Jalon (SORIA),S,98,70403,,,,U,42,025,02501,,99999,Parcela,,84 Polígono 31,SN,SN,,,42259,01,001,,,,,,,, ,0,108,,2,3,20030331,19860101,,563341,4557774,T,,,,,,563232.2043,4557565.3656
