OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,x2,y2
12,10_25,20150410,10,25,CIUDAD DE LA IMAGEN,Superficie,S,25,,,93,391,U,28,115,11520,1152099,A0392,Calle, ,Juan de Orduña,N,4,,,28223,01,018,,T115879,1152099999,,6,B1,3,115-022,1009,,559-3,2,3,20070221,20070726,,433577,4472334,T,,,,,433467.5745,4472126.5737
13,10_26,20150410,10,26,JOSE ISBERT,Superficie,S,26,,,93,405,U,28,115,11520,1152099,A0386,Calle, ,José Isbert,N,2,,,28223,01,018,,T115879,1152099999,,6,B1,3,115-022,1009,,559-3,2,3,20070221,20070726,,433071,4472135,T,,,,,432961.5758,4471927.5776
14,10_27,20150410,10,27,CIUDAD DEL CINE,Superficie,S,27,,,93,392,U,28,115,11520,1152001,A0386,Calle, ,José Isbert,N,20,,,28223,01,018,,T115895,1152001002,,6,B1,3,115-022,1009,,559-3,2,3,20070221,20070726,,432592,4472061,T,,,,,432482.5783,4471853.5819
15,10_28,20150410,10,28,RETAMARES,Superficie,S,28,,,93,420,U,28,115,11522,1152299,A0108,Ctra, ,Boadilla-Carabanchel (M-511),SN,SN,,,28223,01,018,,T115815,1152299999,,6,B1,3,115-021,1008,,559-3,2,3,20070221,20070726,,430799,4472540,T,,,,,430689.5987,4472332.6001
16,10_24,20150410,10,24,COLONIA JARDIN,Subterránea,I,10,,,91,43,U,28,079,07901,0790101,10799,Calle,de,Arenas de San Pedro,N,2,,,28024,10,152,105,T07911169,0790101515,3,5,A,2,079-10-249,249,,559-3,2,3,20070221,20070726,,434382,4472315,T,,,,,434272.5686,4472107.5654
1,10_50,20150410,10,50,PLAZA DE TOROS,Fte. a Nº20 Calle Julio Romero de Torres.,S,50,TORO,,93,413,U,28,106,10601,1060199,99999,Calle, ,Desconocida,N,SN,,,,01,040,,T10661,1060199999,,4,B2,3,106-007,821,,582-3,2,3,20070606,20070605,,435675,4455333,T,,,,,435565.3596,4455125.4918
2,10_51,20150410,10,51,JULIO ROMERO DE TORRES,,S,51,RMRO,,93,406,U,28,106,10601,1060199,10033,Calle, ,Julio Romero de Torres,N,2,,,,01,040,,T10636,1060199999,,4,B2,3,106-006,820,,582-3,2,3,20070607,20070605,,435271,4455475,T,,,,,435161.3628,4455267.4954
3,10_54,20150410,10,54,IGLESIA CENTRO,Calle Real nº32,S,54,IGLS,,93,400,U,28,106,10601,1060102,00113,Calle, ,Real,N,28,,,,01,001,,T106301,1060102004,,4,B2,3,106-004,818,,582-3,2,3,20070607,20070605,,434561,4454633,T,,,,,434451.3575,4454425.4998
4,10_55,20150410,10,55,BULEVAR SUR,,S,55,BSUR,,93,388,U,28,106,10601,1060102,00729,Calle, ,San Antón,N,4,,,,01,029,,T106384,1060102017,,4,B2,3,106-013,827,,582-3,2,3,20070607,20070605,,434407,4454304,T,,,,,434297.3547,4454096.5006
5,10_56,20150410,10,56,REYES CATOLICOS,Calle Reyes Católicos nº35,S,56,RYKT,,93,421,U,28,106,10601,1060102,00115,Calle, ,Reyes Católicos,N,37,,,,01,032,,T106483,1060102017,,4,B2,3,106-013,827,,582-3,2,3,20070607,20070605,,434605,4453934,T,,,,,434495.3502,4453726.4985
6,10_57,20150410,10,57,ISABEL II,Calle Reyes Católicos nº12,S,57,ISBL,,93,402,U,28,106,10603,1060301,00115,Calle, ,Reyes Católicos,N,73,,,,01,039,,T106509,,,4,B2,3,106-011,825,,582-3,2,3,20070607,20070605,,435023,4453900,T,,,,,434913.348,4453692.495
7,10_58,20150410,10,58,PARQUE PARLA ESTE,Calle Paraguay nº14,S,58,PPST,,93,412,U,28,106,10603,1060399,99999,Calle,del,paraguay,N,16,,,,01,040,,T106444,1060399999,,4,B2,3,106-012,826,,582-3,2,3,20070607,20070605,,435327,4453567,T,,,,,435217.3433,4453359.4921
8,10_52,20150410,10,52,LA BALLENA,Zona Verde perpendicular a Calle Real a la altura del nº94,S,52,BAYE,,93,407,U,28,106,10601,1060102,00113,Calle, ,Real,N,94,,,,01,026,,T10630,1060102012,,4,B2,3,106-006,820,,582-3,2,3,20070607,20070605,,434929,4455549,T,,,,,434819.3652,4455341.4983
9,10_59,20150410,10,59,AVENIDA SISTEMA SOLAR,esq. Calle Planeta Tierra,S,59,SLAR,,93,383,U,28,106,10603,1060399,C0048,Avda,del,Sistema Solar,N,9,,,,01,040,,T106608,1060399999,,4,B2,3,106-012,826,,582-3,2,3,20080125,20080125,,435387,4453041,T,,,,,435277.3378,4452833.4908
10,10_60,20150410,10,60,TIERRA NORTE,,S,60,TRRN,,93,425,U,28,106,10603,1060399,C0051,Avda,de las,Estrellas,N,34,,,,01,040,,T106138,1060399999,,4,B2,3,106-012,826,,582-3,2,3,20080125,20080125,,435952,4452872,T,,,,,435842.3337,4452664.4862
11,10_62,20150410,10,62,VENUS NORTE,,S,62,VNUN,,93,428,U,28,106,10603,1060399,C0051,Avda,de las,Estrellas,N,20,,,,01,040,,T106570,1060399999,,4,B2,3,106-012,826,,582-3,2,3,20080125,20080125,,436088,4453350,T,,,,,435978.3379,4453142.4859
12,10_53,20150410,10,53,PARLA CENTRO - BULEVAR NORTE,,S,53,PRLC,,92,100,U,28,106,10601,1060102,00113,Calle,,Real,N,81,,,28981,01,002,,T106180,1060102014,7,4,B2,2,106-004,818,,582-3,2,3,20070607,20070605,,434653,4454975,T,,,,,434543.3606,4454767.4997
13,10_64,20150410,10,64,ESTRELLA POLAR NORTE,,S,64,STRN,,93,396,U,28,106,10603,1060399,C0051,Avda,de las,Estrellas,N,25,,,,01,040,,T106487,1060399999,,4,B2,3,106-012,826,,582-3,2,3,20080125,20080125,,436210,4453780,T,,,,,436100.3418,4453572.4854
14,10_66,20150410,10,66,JAIME I NORTE,,S,66,JAIN,,93,403,U,28,106,10603,1060399,C0051,Avda,de las,Estrellas,N,5,,,,01,040,,T106409,1060399999,,4,B2,3,106-012,826,,582-3,2,3,20080125,20080125,,436335,4454222,T,,,,,436225.3456,4454014.4851
15,10_68,20150410,10,68,POLIGONO INDUSTRIAL CIUDAD DE PARLA,,S,68,PICP,,93,414,U,28,106,10601,1060102,00865,Calle, ,Berlín,N,52,,,,01,016,,T106212,1060102006,,4,B2,3,106-008,822,,582-3,2,3,20080125,20080125,,436275,4454725,T,,,,,436165.3508,4454517.486
